Fecha,ID,NXXX,Cantidad,Precio_prod
2017/1/1,400005,554170000001,4,9808
2017!/{1-/.1,400002,554170000001,3,1355
2017/1/1,400001,554170000001,4,8756
2017/1/1,400008,554170000001,1,9004
2017/1/1,400001,554170000002,1,6736
2017_/1/1,400002,554170000002,5,2449
2017/1/1,400005,554170000002,2,8485
2017/1/2,4XXXXX,55417XXXXXXX,2,9447
2017!/{1-/.2,400009,55417XXXXXXX,5,7480
2017/1/2,400010,55417XXXXXXX,1,1908
2017/1/3,400003,554170000004,4,8951
2017/1/3,400009,554170000004,5,8113
2017/1/3,4XXXXX,554170000004,4,4065
2017/1/3,400006,554170000005,3,2239
2017/1/3,400003,554170000005,3,9886
2017/1/3,400001,554170000005,1,1637
2017_/1/3,400001,55417XXXXXXX,4,9324
2017/1/4,400007,554170000007,1,3455
2017!/{1-/.4,400007,554170000008,1,7627
2017/1/4,400002,554170000008,3,1680
2017/1/4,400007,55417XXXXXXX,4,1190
2017/1/4,4XXXXX,55417XXXXXXX,4,2104
2017/1/4,400003,55417XXXXXXX,2,3370
2017/1/4,400003,554170000010,3,7287
2017/1/4,400007,554170000010,5,9810
2017/1/4,400005,554170000010,5,4372
2017/1/4,400010,554170000010,2,7200
2017!/{1-/.4,400009,554170000011,3,7473
2017/1/4,400004,554170000011,1,6703
2017/1/5,400002,554170000012,2,2967
2017/1/5,400007,554170000012,2,1185
2017/1/5,400009,554170000012,1,9914
2017/1/6,400001,554170000013,4,8018
2017/1/6,400005,554170000013,5,4568
2017/1/6,400008,554170000013,2,6678
2017/1/6,400004,554170000013,1,9017
2017/1/6,400009,554170000014,3,4625
2017/1/6,400005,55417XXXXXXX,3,3226
2017/1/6,400006,55417XXXXXXX,1,6522
2017/1/6,400010,554170000016,3,9916
2017/1/6,400008,554170000016,5,9729
2017/1/6,400004,554170000017,5,9216
2017/1/6,400006,554170000017,4,1197
2017!/{1-/.7,400003,55417XXXXXXX,4,6098
2017_/1/7,400004,55417XXXXXXX,4,3979
2017/1/7,400001,55417XXXXXXX,1,1976
2017_/1/8,400001,554170000019,4,4588
2017!/{1-/.8,400003,554170000020,5,3773
2017/1/8,400001,554170000020,1,1471
2017/1/8,400008,554170000021,5,6764
2017/1/8,400003,554170000021,4,9511
2017/1/8,400009,554170000021,5,9785
2017/1/8,400005,554170000021,2,7676
2017!/{1-/.9,400008,554170000022,4,8688
2017/1/9,400005,554170000022,1,5357
2017/1/9,400006,554170000022,5,7774
2017/1/9,400010,554170000022,2,8644
2017/1/9,4XXXXX,554170000023,5,9559
2017/1/9,400010,554170000023,3,2945
2017/1/9,400008,554170000023,5,4407
2017/1/9,400009,554170000023,1,2208
2017/1/9,4XXXXX,554170000024,3,3440
2017/1/9,400002,554170000024,3,1696
2017!/{1-/.10,400001,554170000025,2,9435
2017/1/10,400003,554170000025,2,4685
2017/1/10,400010,554170000026,1,5592
2017/1/10,4XXXXX,554170000026,5,3552
2017!/{1-/.10,400006,554170000026,3,7069
2017!/{1-/.10,400001,554170000026,2,2045
2017/1/11,400010,554170000027,2,7118
2017/1/11,400004,554170000027,4,6542
2017/1/11,400003,554170000027,5,1143
2017/1/11,400006,554170000027,3,9118
